"english","dutch"
"Effective range","Effectief bereik"
"Elapsed time","Verstreken tijd"
"Electric cooling fan","Elektrische koelventilator"
"electric motor","Elektromotor"
"Electric motor speed","Toerental van elektromotor"
"Electric power steering","Elektrische stuurbekrachtiging"
"Electric Power Steering system","elektrische stuurbekrachtiging"
"Electric power steering system warning light","Waarschuwingslampje elektrische stuurbekrachtiging"
"Electric Vehicle system","Elektrisch-voertuigsysteem"
"Electric Vehicle system features","Kenmerken van het elektrisch-voertuigsysteem"
"Electric Vehicle system precautions","Voorzorgsmaatregelen voor het elektrisch-voertuigsysteem"
"Electrical leakage detection function","Functie voor lekstroomdetectie"
"Electrical system","Elektrisch systeem"
"Electricity consumption","Elektriciteitsverbruik"
"Electricity Supply Unit","Elektrischevoedingseenheid"
"Electromagnetic waves","Elektromagnetische golven"
"Electronic key","Elektronische sleutel"
"Electronic key battery","Batterij van de elektronische sleutel"
"Electronic key battery depletion","Leegraken van de batterij van de elektronische sleutel"
"Electronic sunshade","Elektronisch zonnescherm"
"Electronic sunshade switch","Schakelaar voor elektronisch zonnescherm"
"Electronically Controlled Brake System","elektronisch geregeld remsysteem"
"Emergency assistance","Noodhulp"
"Emergency brake signal","Noodremsignaal"
"Emergency Driving Stop System","Nooduitschakeling aandrijving"
"Emergency flasher switch","Schakelaar voor alarmknipperlichten"
"Emergency flashers","Alarmknipperlichten"
"Emergency flashers switch","Schakelaar voor alarmknipperlichten"
"Emergency locking retractor","Oprolmechanisme met noodvergrendeling"
"Emergency measures regarding electrolyte","Noodmaatregelen met betrekking tot elektrolyt"
"Emergency Notification Services","Noodmeldingsdiensten"
"Emergency release lever","Hendel voor noodontgrendeling"
"Emergency repair procedure","Procedure voor noodreparaties"
"Emergency shut off system","Systeem voor nooduitschakeling"
"Emergency start function","Noodstartfunctie"
"Emergency steering assist","Noodstuurassistentie"
"Emergency stop of the EV system","Noodstop van het EV-systeem"
"emergency tire puncture repair kit","Noodreparatieset voor een lekke band"
"Emergency tire puncture repair kit components","Onderdelen van de noodreparatieset voor een lekke band"
"Emergency towing","Slepen in noodsituaties"
"Emergency towing procedure","Procedure voor slepen in noodsituaties"
"EN 62196-2","EN 62196-2"
"EN 62196-3","EN 62196-3"
"Enabling the system","Het systeem inschakelen"
"Enabling/disabling the Parking Support Brake","In-/uitschakelen van het remmen tijdens parkeren"
"End of prohibition","Einde van verboden"
"Engine coolant temperature gauge","Temperatuurmeter motorkoelvloeistof"
"English","Engels"
"Enter/Set","Enter/instellen"
"Entry functions","Toegangsfuncties"
"EPS operation sound","Geluid van werking van EPS (elektrische stuurbekrachtiging)"
"Error warning indicator","Waarschuwingslampje voor foutmelding"
"Essential information","Essentiële informatie"
"Estonia","Estland"
"ESU","ESU"
"EV system","EV-systeem"
"EV system does not start after DC charging","EV-systeem start niet na het DC-laden"
"EV system output","Vermogen van EV-systeem"
"EV system output restriction control","Regeling voor vermogensbeperking van EV-systeem"
"EV system overheating","Oververhitting van het EV-systeem"
"Event data recorder","gebeurtenisdatarecorder"
"Example","Voorbeeld"
"Example of the displayed regulation number","Voorbeeld van het weergegeven richtlijnnummer"
"Examples of function operation","Voorbeelden van activering van de functie"
"Examples of system operation","Voorbeelden van activering van het systeem"
"Excess speed notification function","Waarschuwingsfunctie voor overschrijden van snelheidslimiet"
"Excess speed notification level","Snelheid waarmee de snelheidslimiet wordt overschreden waarbij wordt gewaarschuwd"
"Excess speed notification method","Waarschuwingsmethode voor overschrijding van snelheidslimiet"
"Excessive tire squeal when cornering","Overmatig bandengeluid in bochten"
"Excessive wear","Overmatige slijtage"
"exhaust fumes","uitlaatrook"
"Exit ramp on left","Afrit links"
"Exit ramp on right","Afrit rechts"
"Explains symbols used in this manual","Verklaart symbolen die worden gebruikt in deze handleiding"
"Expressway","Autoweg"
"Expressway exit","Eind autoweg"
"Extended Headlight Lighting system","Follow-me-home-verlichting"
"Extended Resume Time","Verlengde hervattingstijd"
"Exterior","Buitenkant"
"External power source","Externe voedingsbron"
"Face Authentication","Gezichtsauthenticatie"
"Face identification","Gezichtsherkenning"
"Fall-down protection function","Beveiligingsfunctie tegen vallen"
"Fan speed control switch","Schakelaar voor ventilatortoerental"
"Fast","Snel"
"Fastening and releasing the seat belt","Vastmaken en losmaken van de veiligheidsgordel"
"Favorite settings","Favoriete instellingen"
"FCTA system control","FCTA-systeemcontrole"
"Features","Kenmerken"
"FHL","FHL"
"Fine adjustment","Fijnafstelling"
"Finland","Finland"
"Fitting tire chains","Sneeuwkettingen aanbrengen"
"Fixation","Bevestiging"
"Fixed with a seat belt","bevestigd met een veiligheidsgordel"
"Fixed with an ISOFIX lower anchorage","Bevestigd met een ISOFIX-bevestiging aan de onderkant"
"Fixing the top strap to the top tether anchorage","Bevestigen van de bovenste band aan het “top tether”-bevestigingspunt"
"Fixture","Bevestiging"
"flags","vlaggen"
"Flashes normally","Knippert normaal"
"Flashes rapidly","Knippert snel"
"Flat tire","Lekke band"
"Flathead screwdriver","Platte schroevendraaier"
"Fluid","Vloeistof"
"Fluid capacity","Vloeistofcapaciteit"
"Fluid type","Vloeistoftype"
"Fog light switch","Schakelaar voor mistlichten"
"Fog lights","Mistlichten"
"Fog lights can be used when","Mistlichten kunnen gebruikt worden wanneer"
"Folding and extending the mirrors","In- en uitklappen van de spiegels"
"Folding down the rear seatbacks","Neerklappen van de rugleuningen van de achterstoelen"
"Folding the mirrors","Inklappen van de spiegels"
"Footwell lights","Voetlichten"
"for driver’s side","aan bestuurderszijde"
"For safe driving","Om veilig te rijden"
"For safe use","Voor veilig gebruik"
"For safety and security","Veiligheid en beveiliging"
"for terminal clamp bolts","voor klembouten van aansluitingen"
"For vehicles with navigation system","Voor auto’s met navigatiesysteem"
"For your information","Ter informatie"
"For your safety","Voor uw veiligheid"
"Foreign substance detection:","Detectie van vreemd voorwerp:"
"France","Frankrijk"
"Free play","Vrije slag"
"Free/Open Source Software Information","Informatie over vrije/open source-software"
"Front","Vóór"
"front bumper","Voorbumper"
"Front bumper","Voorbumper"
"Front camera","Camera aan de voorkant van de auto"
"Front camera detection","Detectie door de camera aan de voorkant van de auto"
"Front camera installation area on the windshield","Installatiegebied van de camera aan de voorkant van de auto op de voorruit"
"Front center sensor","Sensor vóór in het midden"
"Front center sensor detection","Detectie van sensoren middenvoor"
"Front center sensors","Sensoren middenvoor"
"Front corner sensor detection","Detectie van sensoren voorhoeken"
"Front corner sensors","Sensoren voorhoeken"
"Front crossing traffic alert","waarschuwing bij voorlangs kruisend verkeer"
"Front door panels","Voordeurpanelen"
"Front door speakers","Luidsprekers voorportier"
"Front door trim","Voordeurbekleding"
"Front eAxle","eAxle vóór"
"Front eAxle fluid type","Vloeistoftype voor eAxle vóór"
"Front electric motor","Elektromotor vóór"
"front fender","Voorspatbord"
"Front fender","Voorspatbord"
"Front fog light indicator","Indicatielampje mistkoplampen"
"Front fog lights","Mistkoplampen"
"Front impact sensors","Botssensoren vóór"
"Front interior lights","Interieurverlichting vóór"
"Front passenger airbag","Airbag voor voorpassagier"
"Front pillars","Voorstijlen"
"Front position lights","Parkeerlichten vóór"
"Front radar sensor","Radarsensor vóór"
"Front right-hand","Rechtsvoor"
"Front Seat Center AirBag","Airbag midden tussen de voorstoelen"
"Front Seat Center AirBag operating conditions","Voorwaarden voor activering van de airbag midden tussen de voorstoelen"
"Front seat concentrated airflow mode (S-FLOW)","Modus voor geconcentreerde luchtstroom voor de voorstoelen (S-FLOW)"
"Front seat concentrated airflow mode (S-FLOW) switch","Schakelaar voor modus voor geconcentreerde luchtstroom voor de voorstoelen (S-FLOW)"
"Front seats","Voorstoelen"
"Front side radar sensors","Zijradarsensoren vóór"
"Front side sensors","Zijsensoren vóór"
"Front turn signal lights","Richtingaanwijzers vóór"
"Fuel economy","Brandstofverbruik"
"Fuel Economy","Brandstofverbruik"
"Fuel gauge","Brandstofmeter"
"Full","Vol"
"Full-height, forward-facing child restraint systems","Naar voren gerichte kinderzitjes met volledige hoogte"
"Full-size, rearward-facing child restraint systems","Naar achteren gerichte kinderzitjes van volledig formaat"
"Full luggage loading","Bagageruimte vol"
"Function","Functie"
"Funnel","Trechter"
"Fuse box","Zekeringenkastje"
"Fuse with same amperage rating as original","Zekering met dezelfde nominale ampèrage als de originele"
"Fuses","Zekeringen"
"Gauges","Meters"
"Gauges and meters","Tellers en meters"
"Gauges, meters and multi-information display","Tellers, meters en het multi-informatiedisplay"
"General airbag precautions","Algemene voorzorgsmaatregelen voor airbags"
"General precaution regarding children’s safety","Algemene voorzorgsmaatregelen voor de veiligheid van kinderen"
"General precautions while driving","Algemene voorzorgsmaatregelen tijdens het rijden"
"GENUINE SUPER LONG LIFE COOLANT (PINK)","GENUINE SUPER LONG LIFE COOLANT (PINK) «ORIGINELE KOELVLOEISTOF MET SUPER LANGE LEVENSDUUR (ROZE)»"
"Germany","Duitsland"
"gestaodadospessoais@toyotacaetano.pt","gestaodadospessoais@toyotacaetano.pt"
"Global Warming Potential","aardopwarmingsvermogen"
"Gratings and gutters","Roosters en goten"
"Gravel roads","Grindwegen"
"Gray","Grijs"
"Grease","Smeervet"
"Great Britain","Groot-Brittannië"
"Greece","Griekenland"
"Green","Groen"
"Grey","Grijs"
"Grip control","Grip Control"
"Grip control indicator","Indicatielampje Grip Control"
"Grip control Operations","Werking van Grip Control"
"Grip control Operations Conditions","Voorwaarden voor gebruik van Grip Control"
"Grip control set speed indicator","Indicatielampje ingestelde snelheid van Grip Control"
"Grip control switch","Grip Control-schakelaar"
"Gross Vehicle Mass","Brutovoertuiggewicht"
"Grounding","Aarding"
"Grounding precautions","Voorzorgsmaatregelen voor aarding"
"guardrail","vangrail"
"Guest","Gast"
"Guidance","Advies"
"Guide line","Geleidingslijn"
"Guide line display mode","Displaymodus van de geleidingslijnen"
"Guide message","Geleidingsmelding"
"Guide pin","Geleidepen"
"Guide to dial settings","Richtlijnen voor instelling van de draaiknop"
"Hand warmers made of metal","Metalen handwarmers"
"Handling method","Methode om hiermee om te gaan"
"Handling of the 12-volt battery","Hanteren van de 12V-batterij"
"Handling of tires and the suspension","Hanteren van banden en de ophanging"
"Handling the child restraint system","Hanteren van het kinderzitje"
"Handling the seat belts","Hanteren van de veiligheidsgordels"
"Hands off steering wheel warning","Waarschuwing handen van stuur"
"Hands off steering wheel warning operation","Werking van waarschuwing handen van stuur"
"Head-up display","Head-up-display"
"Head restraint","Hoofdsteun"
"Head restraint precautions","Voorzorgsmaatregelen voor hoofdsteun"
"Head restraints","Hoofdsteunen"
"heading-up display","head-up-display"
"Headlight cleaners","Koplampreinigers"
"Headlight control sensor","Sensor voor koplampregeling"
"Headlight high beam indicator","Indicatielampje grootlicht"
"Headlight leveling dial","Draaiknop voor koplampnivellering"
"Headlight switch","Schakelaar voor koplampen"
"Headlights","Koplampen"
"Hearing the RCTA buzzer","Hoorbaarheid van de RCTA-zoemer"
"Heated steering wheel","Stuurverwarming"
"Heater coolant","Koelvloeistof van de verwarming"
"Heater coolant level","Koelvloeistofniveau voor de verwarming"
"Heater coolant reservoir","Koelvloeistofreservoir voor de verwarming"
"Heater system","Verwarmingssysteem"
"Heaters","Verwarmingen"
"High-voltage precautions","Voorzorgsmaatregelen voor hoogspanning"
"High pressure car washes","Hogedrukwasstraten"
"High speed operation","Hoge snelheid"
"High voltage cables","Hoogspanningskabels"
"Hill-start assist control","Hill-Start Assist Control (assistentie bij wegrijden op een helling)"
"Hill-start assist control does not operate effectively when","Wanneer Hill-Start Assist Control (assistentie bij wegrijden op een helling) niet effectief werkt"
"Hold-down clamp","Bevestigingsklem"
"hood","motorkap"
"hood lock release lever","hendel voor ontgrendeling van motorkap"
"Hook","Haak"
"Hooks","Haken"
"Horn","Claxon"
"Hose","Slang"
"Hour","Uur"
"How to change between wheel sets","Wisselen tussen wielsets"
"How to change the unit","Veranderen van de meeteenheid"
"How to charge your vehicle","Het opladen van uw auto"
"How to registration ID code","Id-codes registreren"
"How to search","Zoeken"
"How to set the DC charging power","Het instellen van de DC-laadstroom"
"How to use AC charging","Hoe AC-laden werkt"
"How to use DC charging","Hoe DC-laden werkt"
"How to wear your seat belt","Het dragen van een veiligheidsgordel"
"How your child should wear the seat belt","Het dragen van een veiligheidsgordel door uw kind"
"Hybrid System Indicator","Indicatielampje hybride systeem"
"Hybrid system overheat","Oververhitting van het hybride systeem"
"i-Size seating position","Stoelpositie voor i-Size"
"Ice","Gladheid"
"Iceland","IJsland"
"Icon","Pictogram"
"Icon display area","Gebied voor weergave van pictogrammen"
"Icons","Pictogrammen"
"Identification","Identificatie"
"identification label","Identificatie-etiket"
"Identification label","Identificatie-etiket"
"Identification number","Identificatienummer"
"If a warning light turns on or a warning buzzer sounds","Als een waarschuwingslampje gaat branden of een waarschuwingszoemer klinkt"
"If a warning message is displayed","Als een waarschuwingsmelding wordt weergegeven"
"If equipped","Indien aanwezig"
"If the 12-volt battery is discharged","Als 12V-batterij is ontladen"
"If the electronic key does not operate properly","Als de elektronische sleutel niet naar behoren werkt"
"If the vehicle becomes stuck","Als de auto vast komt te zitten"
"If you have a flat tire","Als uw auto een lekke band heeft"
"If you lose your keys","Bij verlies van uw sleutels"
"If you notice any symptoms","Als u symptomen opmerkt"
"If you think something is wrong","Als u denkt dat er iets mis is"
"If your vehicle becomes stuck","Als uw auto vast komt te zitten"
"If your vehicle has to be stopped in an emergency","Als uw auto moet worden gestopt bij een noodsituatie"
"If your vehicle needs to be towed","Als uw auto moet worden gesleept"
"If your vehicle overheats","Als uw auto oververhit raakt"
"Ignition switch","Contactschakelaar"
"Illuminated entry system","Systeem voor instapverlichting"
"Illumination","Verlichting"
"Illustration Number","Afbeeldingsnummer"
"Images from the cameras","Beelden van de camera’s"
"Immobilizer system","Startonderbrekersysteem"
"Impact detection door lock release system","Portierontgrendelsysteem bij botsdetectie"
"Implementing Regulation","Implementatie van richtlijn"
"Implementing Regulation Annex1 PART3 User Information","Implementatie van Richtlijn Annex1 DEEL3 Gebruikersinformatie"
"Important points of the wireless charger","Belangrijke opmerkingen voor de draadloze lader"
"Important points regarding stability","Belangrijke punten met betrekking tot stabiliteit"
"Important points regarding trailer loads","Belangrijke punten met betrekking tot lading van een aanhanger"
"Important points regarding turning","Belangrijke punten met betrekking tot bochten nemen"
"Important points while driving","Belangrijke punten tijdens het rijden"
"Importer Information","Informatie over importeur"
"Inappropriate pedal operation warning light","Waarschuwingslampje onjuiste pedaalbediening"
"Increase Speed","Snelheid verhogen"
"Increasing vehicle-to-vehicle distance","De afstand tussen voertuigen vergroten"
"Index","Index"
"Indication to prevent misplacement in the rear seat","Indicatie om onjuiste positionering in de achterstoel te voorkomen"
"Indicator","Indicatielampje"
"Indicator lights","Indicatielampjes"
"Indicator operation","Werking van indicatielampjes"
"Indicators","Indicatielampjes"
"Induction cookers","Inductiekookplaten"
"Inflation pressure","Bandenspanning"
"info@toyota.ch","info@toyota.ch"
"INFORMATION ON DATA PROCESSING","INFORMATIE OVER GEGEVENSVERWERKING"
"INFORMATION ON THIRD PARTY SERVICES AND OTHER ADDED VALUE SERVICES (IF FITTED)","INFORMATIE OVER DIENSTEN VAN DERDEN EN ANDERE DIENSTEN DIE TOEGEVOEGDE WAARDE BIEDEN (INDIEN AANWEZIG)"
"Information on what to do in case of a flat tire","Informatie over wat u moet doen bij een lekke band"
"Information symbols","Informatiesymbolen"
"Information tag","Informatielabel"
"Initialization","Initialisatie"
"Initializing","Initialiseren"
"Inside door handle lights","Verlichting in binnenhandgrepen van de portieren"
"Inside lock buttons","Vergrendelknoppen aan de binnenkant"
"Inside rear view mirror","Binnenspiegel"
"Inspect","Inspecteren"
"Installation method","Bevestigingsmethode"
"Installation of an RF-transmitter system","Aanbrengen van een RF zendsysteem"
"Installation with ISOFIX lower anchorage","Aanbrengen met ISOFIX-bevestigingen aan de onderkant"
"Installing child restraint system using a seat belt","Aanbrengen van een kinderzitje bevestigd met een veiligheidsgordel"
"Installing child restraints","Aanbrengen van kinderzitjes"
"Installing floor mats","Vloermatten aanbrengen"
"Installing the head restraints","Aanbrengen van de hoofdsteunen"
"Installing the tire","Aanbrengen van het wiel"
"Installing tire pressure warning valves and transmitters","Ventielen en zenders voor waarschuwing voor de bandenspanning aanbrengen"
"Installing towing eyelets to the vehicle","Sleepogen aanbrengen op de auto"
"Instructions for checking tire inflation pressure","Instructies voor het controleren van de bandenspanning"
"Instructions for manual activation of the system","Instructies voor handmatige activering van het systeem"
"Instrument cluster","Instrumentenpaneel"
"Instrument panel","Instrumentenpaneel"
"Instrument panel light control","Regeling van de verlichting van het instrumentenpaneel"
"Instrument panel light control switches","Schakelaars voor de verlichting van het instrumentenpaneel"
"Intelligent Assistant","Intelligent Assistant"
"Interior","Interieur"
"Interior features","Interieurkenmerken"
"Interior light","Interieurverlichting"
"Interior lights","Interieurverlichting"
"Interior lights list","Lijst van interieurverlichting"
"Intermediate","gemiddeld"
"Intersection collision avoidance support","Hulp bij het voorkomen van botsingen op kruispunten"
"Intrusion sensor","Inbraaksensor"
"Intrusion sensor and tilt sensor","Inbraaksensor en kantelsensor"
"Intrusion sensor and tilt sensor cancel switch","Schakelaar voor uitschakeling van inbraaksensor en kantelsensor"
"Intrusion sensor cancel switch","Schakelaar voor uitschakeling van inbraaksensor"
"Intrusion sensor detection considerations","Aandachtspunten voor detectie door de inbraaksensor"
"Inverter","omvormer"
"IP67","IP67"
"Ireland","Ierland"
"ISO fixture","ISO-bevestiging"
"ISOFIX child restraint system","ISOFIX-kinderzitje"
"ISOFIX lower anchorage","ISOFIX-bevestiging aan de onderkant"
"ISOFIX lower anchorage attachment","Bevestiging van onderste ISOFIX-punten"
"ISOFIX lower anchorages","ISOFIX-bevestigingen aan de onderkant"
"Italy","Italië"
"Item","Item"
"Items to check before locking the vehicle","Punten die moeten worden gecontroleerd voordat u de auto vergrendelt"
"Items to initialize","Items die moeten worden geïnitialiseerd"
"Items to prepare","Wat u moet klaarleggen"
"Jack","Krik"
"Jack handle","Krikhandgreep"
"Jam protection function","Beveiligingsfunctie tegen beknelling"
"JSS MAXI PLUS","JSS MAXI PLUS"
"Junior seat","Peuterzitje"
"Key information","Informatie over sleutels"
"Key linked functions","Aan de sleutel gekoppelde functies"
"Key number plate","Sleutelnummerplaatje"
"Keyless entry","Keyless Entry"
"Keys","Sleutels"
"Kick in buzzer","Kick-in zoemer"
"Kick Sensor","Trapsensor"
"KIDFIX 2S","KIDFIX 2S"
"KIDFIX i-SIZE","KIDFIX i-SIZE"
"klient@toyota.pl","klient@toyota.pl"
"L1","L1"
"L2","L2"
"Landing hard or falling","Hard landen of vallen"
"Lane Change Assist","rijstrookassistent"
"Lane Departure Alert","Waarschuwing bij verlaten van rijstrook"
"Lane departure alert function","Functie voor waarschuwing bij verlaten van rijstrook"
"Lane Departure Alert system","Functie voor waarschuwing bij verlaten van rijstrook"
"Lane departure prevention function","Functie voor voorkomen van verlaten van rijstrook"
"Lane display","Rijstrookweergave"
"Lane Tracing Assist","rijstrookassistent"
"Language","Taal"
"Large adjustment","Grote aanpassing"
"Late","Laat"
"Later","Later"
"LCA display","LCA-display"
"LDA indicator","Indicatielampje LDA"
"LDA OFF indicator","Indicatielampje LDA UIT"
"LED lights","Ledverlichting"
"LED Lights","Ledverlichting"
"Left-hand drive vehicles","Auto’s met stuur links"
"Left-hand side temperature control switch","Schakelaar voor temperatuurregeling links"
"Left lateral-facing infant seat","Naar links gericht babyzitje"
"Left side instrument panel","Instrumentenpaneel links"
"Left turn","Links afslaan"
"Lever","Hendel"
"License plate lights","Kentekenverlichting"
"Lid lifter","Kleplichter"
"Light bulbs","Lampjes"
"Light bulbs of the exterior lights for driving","Lampjes van rijverlichting"
"Light reminder buzzer","Zoemer ter herinnering aan verlichting"
"Light sensor sensitivity","Gevoeligheid van de lichtsensor"
"Light switch","Verlichtingsschakelaar"
"Light switches","Verlichtingsschakelaars"
"Lighting conditions of operation indicator light","Status van indicatielampje voor werking"
"Likely cause","Waarschijnlijke oorzaak"
"Linked mirror function when reversing","Functie gekoppelde spiegels bij achteruitrijden"
"Linked to operation of the power switch","Gekoppeld aan bediening van de contactschakelaar"
"Liquid crystal display","Lcd-scherm"
"List of storage features","Lijst van opslagvoorzieningen"
"Lithium-ion battery","Lithium-ionbatterij"
"Lithium battery CR2450","Lithiumbatterij CR2450"
"Load and distribution","Lading en verdeling"
"Location","Locatie"
"Location of air outlets","Locatie van luchtroosters"
"Location of the emergency tire puncture repair kit and tools","Locatie van de noodreparatieset voor een lekke band en gereedschap"
"Location of the interior lights","Locatie van de interieurverlichting"
"Location of the jack point","Locatie van het krikpunt"
"Location of the SRS airbags","Locatie van de SRS-airbags"
"Location of the storage features","Locatie van de opslagvoorzieningen"
"Location of the tools","Locatie van het gereedschap"
"Locations of airbags","Locatie van airbags"
"Locations of gauges and meters","Locaties van tellers en meters"
"Lock","Vergrendelen"
"Locking and unlocking the AC charging connector","De AC-laadaansluiting vergrendelen en ontgrendelen"
"Locking and unlocking the doors","De deuren ontgrendelen en vergrendelen"
"Locking clip for child restraint system","Borgklem voor kinderzitje"
"Locking the charging connector","Vergrendelen van de laadaansluiting"
"Locking the front doors from the outside without a key","De voorportieren van buitenaf vergrendelen zonder sleutel"
"Locking/unlocking","Vergrendelen/ontgrendelen"
"Locking/unlocking by using the mechanical key","Vergrendelen/ontgrendelen met de mechanische sleutel"
"Locks all the doors","Vergrendelt alle deuren"
"Locks the door","Vergrendelt het portier"
"Long","Groot"
"Long press adjustment","Aanpassen door lang indrukken"
"Low","Laag"
"Low fuel level","Laag brandstofniveau"
"Low objects","Lage objecten"
"Low outside temperature indicator","Indicatielampje lage buitentemperatuur"
"Low speed operation","Lage snelheid"
"Low tire inflation pressure from flat tire","Lage bandenspanning door lekke band"
"Low tire inflation pressure from natural causes","Lage bandenspanning door natuurlijke oorzaken"
"Low washer fluid warning message","Waarschuwingsmelding voor laag ruitensproeiervloeistofniveau"
"Lower hook","Onderste haak"
"Lowers the level of the headlights","Stelt de koplampen naar beneden af"
"LTA (Lane-Tracing Assist) switch","LTA-schakelaar (Lane Tracing Assist, rijstrookassistent)"
"LTA (Lane Tracing Assist) switch","LTA-schakelaar (Lane Tracing Assist, rijstrookassistent)"
"LTA indicator","Indicatielampje LTA"
"LTA switch","LTA-schakelaar"
"Luggage compartment features","Voorzieningen in de bagageruimte"
"Luggage compartment light","Lampje van bagageruimte"
"luggage cover","Hoedenplank"
"Luggage load","Hoeveelheid bagage"
"Lumbar support adjustment switch","Schakelaar voor afstelling van lendensteun"
"Main Owner’s Manual","Hoofdgebruikershandleiding"
"Maintenance","Onderhoud"
"Maintenance and care","Onderhoud en verzorging"
"Maintenance data","Onderhoudsgegevens"
"MAINTENANCE ITEMS","ONDERHOUDSITEMS"
"Maintenance requirements","Onderhoudsvereisten"
"Maintenance schedule","Onderhoudsschema"
"Malfunction in the tire pressure warning system","Storing in het waarschuwingssysteem voor de bandenspanning"
"Manhole covers","Putdeksels"
"Manual Emergency Calls","Handmatige noodoproepen"
"Manual headlight leveling dial","Draaiknop voor handmatige koplampnivellering"
"Manual seat","Handbediende stoel"
"Mass groups","Massagroep"
"MAX","MAX."
"MAXI COSI","MAXI COSI"
"Maximum output","Maximumvermogen"
"Maximum permissible axle capacity","Maximaal toelaatbare asbelasting"
"Maximum permissible rear axle capacity","Maximaal toelaatbare achterasbelasting"
"Maximum torque","Maximumkoppel"
"Meanings","Betekenis"
"mechanical key","Mechanische sleutel"
"Mechanical key linked operation","Werking gekoppeld aan mechanische sleutel"
"Mechanical keys","Mechanische sleutels"
"Medium","Middelgroot"
"Memory recall function","Geheugenfunctie"
"Menu button","Menuknop"
"Menu icons","Menupictogrammen"
"Message","Melding"
"Metal plates","Metaalplaten"
"Metallic wallets or bags","Metalen portemonnees of tassen"
"Meter","Instrumentenpaneel"
"Meter control switches","Bedieningsschakelaars op het instrumentenpaneel"
"Meter display","Meterweergave"
"Meter display and multimedia information","Meterweergave en multimedia-informatie"
"Meters","Tellers"
"Microphone","Microfoon"
"Middle","Middelhoog"
"miles","mijl"
"Minimum vehicle speed","Minimale rijsnelheid"
"Mirror position memory","Spiegelpositiegeheugen"
"Mirrors","Spiegels"
"Mode 2 AC charging cable","AC-laadkabel Mode 2"
"Model","Model"
"Modification and disposal of airbags","Aanpassing en afvoer van airbags"
"Modification and disposal of SRS airbag system components","Aanpassing en afvoer van onderdelen van het SRS-airbagsysteem"
"Modifications to the vehicle’s suspension system","Aanpassing van de ophanging van de auto"
"Motor","Motor"
"Motor compartment","Motorruimte"
"Motorcycles","Motoren"
"Motorway","Autosnelweg"
"Motorway exit","Einde autosnelweg"
"Moving objects","Bewegende objecten"
"Multi-information display","Multi-informatiedisplay"
"Multi-information display operation","Procedure via het multi-informatiedisplay"
"Multimedia display","Multimediadisplay"
"Multimedia operation","Procedure via het multimediadisplay"
"multimedia system","Multimediasysteem"
"Multimedia system screen","Scherm van multimediasysteem"
"Multimedia system screen side","Scherm van multimediasysteem"
"Mute","Dempen"
"Muting a buzzer","Een zoemer dempen"
"Muting a buzzer temporarily","Een zoemer tijdelijk dempen"
"My Room Mode","My Room Mode"
"My Settings","Mijn instellingen"
"N/A","N.v.t."
"Navigation system","Navigatiesysteem"
"Navigation system-linked display","Weergave gekoppeld aan het navigatiesysteem"
"Near","Dichtbij"
"Negative (-) battery terminal","Minpool (-) van de batterij"
"Netherlands","Nederland"
"Neutral","Neutraal"
"New tread","Nieuw loopvlak"
"No-entry","Verboden in te rijden"
"No entry notification function","Waarschuwingsfunctie voor verboden in te rijden"
"No overtaking begins","Begin inhaalverbod"
"No overtaking ends","Einde inhaalverbod"
"Nominal voltage","Nominale spanning"
"Non-seat portions","Andere onderdelen dan de stoelen"
"None","Geen"
"Normal","Normaal"
"Normal driving","Normaal rijden"
"Normal fuse","Normale zekering"
"Normal mode","Normale modus"
"Norway","Noorwegen"
"Not applicable","Niet van toepassing"
"Not available","Niet beschikbaar"
"Not illuminated","Brandt niet"
"NOTE","OPMERKING"
"Note for checking the emergency tire puncture repair kit","Opmerking voor het controleren van de noodreparatieset voor een lekke band"
"Note for the entry function","Opmerking voor de toegangsfunctie"
"Notes when washing the vehicle","Opmerkingen bij het wassen van de auto"
"NOTICE","OPMERKING"
"Notification function","Meldingsfunctie"
"Number of consecutive door lock operations","Aantal opeenvolgende vergrendelingen van de deuren"
"Obstacle Anticipation Assist","Hulp bij anticiperen op obstakels"
"Occupancy and luggage load conditions","Bezetting en hoeveelheid bagage"
"Occupants","Inzittenden"
"odometer","Kilometerteller"
"Odometer","Kilometerteller"
"Odometer and trip meter display","Weergave van kilometerteller en dagtellers"
"Off-road driving","Off-road rijden"
"Off-road driving precautions","Voorzorgsmaatregelen voor off-road rijden"
"Onboard traction battery charger","Boordlader voor de tractiebatterij"
"Oncoming motorcycles","Tegemoetkomende motoren"
"Oncoming vehicle speed","Snelheid van tegenligger"
"Oncoming vehicles","Tegenliggers"
"One-touch closing","Sluiten met één aanraking"
"One-touch opening","Openen met één aanraking"
"Open door warning buzzer","Waarschuwingszoemer bij geopend portier"
"Open tray","Open bak"
"Open window","Ruit geopend"
"Opener","Schakelaar voor openen"
"Opening and closing the power windows","Openen en sluiten van de elektrisch bedienbare ruiten"
"Opening the hood","De motorkap openen"
"Opening, closing and locking the doors","Openen, sluiten en vergrendelen van de portieren"
"Opening/closing the back door","Openen/sluiten van de bagageklep"
"Opening/closing the side windows","Openen/sluiten van de zijruiten"
"Opens the windows","Opent de ruiten"
"Operating conditions","Voorwaarden voor de werking"
"Operating instructions","Instructies voor gebruik"
"Operating the lights and wipers","Bediening van de verlichting en ruitenwissers"
"Operation","Werking"
"Operation buzzer","Zoemer bij werking"
